Dates,S,T,Rd,Rf,SEMP,S25RR,S25BF,S10RR,S10BF,S10P,S25P,SATM,S25C,S10C,K10P,K25P,KATM,K25C,K10C,Info
2010-01-13,7.7568,0.5,0.0023976333333333333,0.004012500000000001,,-0.00846666666666667,0.002916666666666667,-0.01924166666666667,0.010883333333333333,0.02732916666666667,0.013975000000000001,0.006825,0.005508333333333333,0.008087499999999997,7.561766815224915,7.699195485973989,7.750449173239854,7.770883527380101,7.807558242138283,0
2010-01-14,7.75803,0.5,0.002395266666666667,0.003995833333333335,,-0.008075,0.002816666666666667,-0.019175,0.0109,0.026812500000000003,0.013179166666666669,0.006325000000000001,0.0051041666666666674,0.0076375,7.56653363685604,7.703384895197442,7.751746332805389,7.770676497250484,7.805665111217642,0
2010-01-15,7.76035,0.5,0.0023917000000000005,0.003970833333333336,,-0.007308333333333334,0.0028000000000000004,-0.017983333333333334,0.011150000000000002,0.02611666666666667,0.012429166666666668,0.005975,0.005120833333333335,0.008133333333333334,7.573614327427561,7.70851863224006,7.754155897281321,7.773145521274736,7.811596384313244,0
2010-01-18,7.76303,0.5,0.002422633333333334,0.003937500000000003,,-0.007283333333333336,0.0028166666666666674,-0.01825,0.011575000000000002,0.026608333333333338,0.01236666666666667,0.005908333333333334,0.005083333333333334,0.008358333333333337,7.57312257489159,7.71165679479018,7.757084551440386,7.775941378360226,7.816141051603803,0
2010-01-19,7.7632,0.5,0.0024773666666666676,0.003910433333333335,,-0.007058333333333336,0.0029750000000000006,-0.0173,0.01185,0.0266,0.01260416666666667,0.0061,0.005545833333333333,0.009300000000000001,7.573653832645343,7.711269546184322,7.757567235737034,7.778142197335558,7.823314455474783,0
2010-01-20,7.76875,0.5,0.002539266666666667,0.003902100000000001,,-0.0076250000000000024,0.002858333333333334,-0.01801666666666667,0.011533333333333335,0.02686666666666667,0.012995833333333335,0.006325,0.005370833333333332,0.008849999999999998,7.577516810377154,7.715616246770517,7.763380402378364,7.783327928264175,7.825985912222183,0
2010-01-21,7.7703,0.5,0.002663066666666667,0.003903133333333334,,-0.006791666666666668,0.0029583333333333336,-0.015283333333333335,0.011325000000000003,0.025225000000000004,0.012612499999999999,0.006258333333333332,0.005820833333333331,0.009941666666666668,7.590693698943884,7.7190361248369275,7.76540761150366,7.787026558112205,7.835787372332127,0
2010-01-22,7.7723,0.5,0.0027726000000000005,0.003883333333333334,,-0.006416666666666668,0.0030500000000000006,-0.013683333333333334,0.011166666666666672,0.02439166666666667,0.012641666666666666,0.006383333333333332,0.006224999999999998,0.010708333333333337,7.598832861888371,7.721414624522118,7.767905592040908,7.79103364701382,7.843768526015806,0
2010-01-25,7.76935,0.5,0.002814266666666667,0.0038687666666666672,,-0.005583333333333335,0.0034000000000000007,-0.011541666666666667,0.01153333333333334,0.023854166666666673,0.012741666666666669,0.006549999999999999,0.0071583333333333325,0.012312500000000007,7.599836733966613,7.7183335730882465,7.7651714031703065,7.791756974958099,7.852442299400757,0
2010-01-26,7.776,0.5,0.0026952333333333336,0.003842733333333334,,-0.005650000000000001,0.003433333333333334,-0.011433333333333335,0.011466666666666672,0.023950000000000006,0.013025000000000002,0.0067666666666666665,0.007375,0.012516666666666669,7.605331074199128,7.7235394347107365,7.771450839767158,7.798868359504592,7.860255953926767,0
2010-01-27,7.77655,0.5,0.0025952333333333338,0.0038385666666666675,,-0.005708333333333335,0.0034750000000000007,-0.011491666666666669,0.011558333333333337,0.024262500000000006,0.0132875,0.006958333333333333,0.007579166666666665,0.012770833333333335,7.603365950935082,7.722751574090434,7.771623007508858,7.799804445307052,7.862250265699884,0
2010-01-28,7.7675,0.5,0.0025571333333333337,0.0038385666666666675,,-0.005725000000000001,0.003508333333333334,-0.011366666666666669,0.011558333333333337,0.024266666666666672,0.013395833333333333,0.007024999999999999,0.007670833333333332,0.012900000000000002,7.59434434671143,7.713219934423489,7.762429056527745,7.790918973311831,7.85387238428066,0
2010-01-29,7.76445,0.5,0.0025547666666666667,0.0038448333333333338,,-0.006558333333333335,0.0034500000000000004,-0.013591666666666669,0.01156666666666667,0.025729166666666668,0.014095833333333333,0.007366666666666665,0.007537499999999997,0.012137499999999999,7.581347911062226,7.707592553209686,7.759338014635477,7.787331710260747,7.845319074297994,0
2010-02-01,7.76805,0.5,0.002523833333333334,0.0038458666666666666,,-0.006666666666666668,0.003533333333333334,-0.013533333333333335,0.01156666666666667,0.025916666666666668,0.01445,0.007583333333333332,0.007783333333333331,0.012383333333333333,7.583462742977596,7.709744696408363,7.762805281601023,7.7917296623929655,7.850583745463247,0
2010-02-02,7.76615,0.5,0.0024929000000000006,0.0038396,,-0.0068333333333333345,0.0036000000000000008,-0.013650000000000002,0.01156666666666667,0.026225000000000002,0.01485,0.007833333333333333,0.008016666666666667,0.012575,7.579411897689836,7.706298083121989,7.760803369296852,7.790593311991638,7.849933350747822,0
2010-02-03,7.7672,0.5,0.0024905000000000005,0.0038375,,-0.006908333333333335,0.0036166666666666673,-0.013966666666666669,0.01161666666666667,0.026500000000000003,0.014970833333333334,0.007899999999999999,0.008062499999999998,0.012533333333333334,7.578560835437643,7.706896031792582,7.76184944681352,7.791815511667653,7.850696418051473,0
2010-02-04,7.77055,0.5,0.0024905000000000005,0.003841666666666667,,-0.007216666666666669,0.0035250000000000004,-0.015058333333333335,0.011558333333333335,0.026945833333333336,0.014991666666666669,0.007858333333333333,0.007774999999999999,0.011887500000000002,7.57877469666772,7.710127729396234,7.765182236287336,7.794092896259154,7.849460420123371,0
