Dates,S,T,Rd,Rf,SEMP,S25RR,S25BF,S10RR,S10BF,S10P,S25P,SATM,S25C,S10C,K10P,K25P,KATM,K25C,K10C,Info
2000-01-26,7.7801,0.5,0.06244046666666667,0.06265866666666665,,,,,,,,0.009583333333333334,,,nan,nan,7.779072627292664,nan,nan,0.0
2000-01-27,7.7803,0.5,0.06230653333333333,0.06239799999999999,,,,,,,,0.00925,,,nan,nan,7.779777772994147,nan,nan,0.0
2000-01-28,7.7803,0.5,0.06232886666666667,0.06226466666666667,,,,,,,,0.009583333333333334,,,nan,nan,7.780371111726678,nan,nan,0.0
2000-01-31,7.7804,0.5,0.06293153333333333,0.06209366666666668,,,,,,,,0.010083333333333333,,,nan,nan,7.783462306057754,nan,nan,0.0
2000-02-01,7.7808,0.5,0.0633631,0.06235000000000001,,,,,,,,0.010083333333333333,,,nan,nan,7.78454448945553,nan,nan,0.0
2000-02-02,7.7798,0.5,0.06366813333333333,0.06252933333333334,,,,,,,,0.01025,,,nan,nan,7.784026624519256,nan,nan,0.0
2000-02-03,7.7809,0.5,0.06330356666666669,0.062596,,,,,,,,0.010333333333333335,,,nan,nan,7.783445462209064,nan,nan,0.0
2000-02-04,7.7806,0.5,0.06309523333333333,0.06256266666666667,,,,,,,,0.0105,,,nan,nan,7.782457613032477,nan,nan,0.0
2000-02-07,7.7813,0.5,0.06290180000000001,0.06273333333333332,,,,,,,,0.010333333333333333,,,nan,nan,7.781747740237225,nan,nan,0.0
2000-02-08,7.7803,0.5,0.06300596666666668,0.06279999999999998,,,,,,,,0.010083333333333333,,,nan,nan,7.780903501834189,nan,nan,0.0
2000-02-09,7.7803,0.5,0.06313990000000001,0.0628,,,,,,,,0.009833333333333333,,,nan,nan,7.781434266711117,nan,nan,0.0
2000-02-10,7.781,0.5,0.06313990000000001,0.0628,,,,,,,,0.009666666666666665,,,nan,nan,7.782140691748769,nan,nan,0.0
2000-02-11,7.7817,0.5,0.06308036666666668,0.06269999999999999,,,,,,,,0.009416666666666665,,,nan,nan,7.783007551626126,nan,nan,0.0
2000-02-14,7.7803,0.5,0.0632738,0.06263333333333333,,,,,,,,0.009083333333333334,,,nan,nan,7.782631378439109,nan,nan,0.0
2000-02-15,7.7805,0.5,0.0634375,0.06233333333333333,,,,,,,,0.008916666666666668,,,nan,nan,7.7846419355146255,nan,nan,0.0
2000-02-16,7.7813,0.5,0.06351190000000001,0.06236666666666666,,,,,,,,0.018083333333333333,,,nan,nan,7.785120504883352,nan,nan,0.0
2000-02-17,7.7813,0.5,0.06313990000000001,0.06253333333333333,,,,,,,,0.017666666666666667,,,nan,nan,7.783052978481103,nan,nan,0.0
