Dates,S,T,Rd,Rf,SEMP,S25RR,S25BF,S10RR,S10BF,S10P,S25P,SATM,S25C,S10C,K10P,K25P,KATM,K25C,K10C,Info
2000-01-20,7.7787,0.25,0.05892113333333334,0.060781,,,,,,,,0.0075,,,nan,nan,7.775029336146617,nan,nan,0
2000-01-21,7.7791,0.25,0.0590104,0.06053733333333333,,,,,,,,0.007166666666666666,,,nan,nan,7.776081101260153,nan,nan,0
2000-01-24,7.7794,0.25,0.05882436666666666,0.06043333333333334,,,,,,,,0.007333333333333333,,,nan,nan,7.776219156792115,nan,nan,0
2000-01-25,7.779,0.25,0.05839283333333334,0.060069000000000004,,,,,,,,0.006666666666666667,,,nan,nan,7.775697759319056,nan,nan,0
2000-01-26,7.7801,0.25,0.0579241,0.06020866666666667,,,,,,,,0.006333333333333333,,,nan,nan,7.775618743236677,nan,nan,0
2000-01-27,7.7803,0.25,0.05785716666666666,0.05994833333333333,,,,,,,,0.006166666666666667,,,nan,nan,7.77619662300936,nan,nan,0
2000-01-28,7.7803,0.25,0.058110133333333334,0.060069000000000004,,,,,,,,0.006666666666666667,,,nan,nan,7.776447587604617,nan,nan,0
2000-01-31,7.7804,0.25,0.0589286,0.06007933333333334,,,,,,,,0.007333333333333333,,,nan,nan,7.7781097441641185,nan,nan,0
2000-02-01,7.7808,0.25,0.059501500000000006,0.060193666666666666,,,,,,,,0.007666666666666666,,,nan,nan,7.779396556719926,nan,nan,0
2000-02-02,7.7798,0.25,0.05987353333333334,0.060489666666666664,,,,,,,,0.007333333333333333,,,nan,nan,7.7785494544476546,nan,nan,0
2000-02-03,7.7809,0.25,0.059620533333333336,0.060423000000000004,,,,,,,,0.007,,,nan,nan,7.779291530040443,nan,nan,0
2000-02-04,7.7806,0.25,0.05952380000000001,0.06061266666666667,,,,,,,,0.0065000000000000014,,,nan,nan,7.778441199254791,nan,nan,0
2000-02-07,7.7813,0.25,0.05939729999999999,0.06046666666666667,,,,,,,,0.0065000000000000014,,,nan,nan,7.779178928438036,nan,nan,0
2000-02-08,7.7803,0.25,0.059494033333333335,0.06053333333333333,,,,,,,,0.0065000000000000014,,,nan,nan,7.778237667223858,nan,nan,0
2000-02-09,7.7803,0.25,0.05973956666666667,0.0603,,,,,,,,0.0065000000000000014,,,nan,nan,7.779168907651307,nan,nan,0
2000-02-10,7.781,0.25,0.05983630000000001,0.06011666666666667,,,,,,,,0.006416666666666668,,,nan,nan,7.780414592280996,nan,nan,0
2000-02-11,7.7817,0.25,0.05981396666666667,0.06005,,,,,,,,0.006250000000000001,,,nan,nan,7.781202834152885,nan,nan,0
2000-02-14,7.7803,0.25,0.06026783333333333,0.060343666666666664,,,,,,,,0.006416666666666667,,,nan,nan,7.780112457858714,nan,nan,0
2000-02-15,7.7805,0.25,0.0606101,0.06044366666666667,,,,,,,,0.0065,,,nan,nan,7.780782648005733,nan,nan,0
2000-02-16,7.7813,0.25,0.06087053333333334,0.06051033333333333,,,,,,,,0.006583333333333333,,,nan,nan,7.781958578470232,nan,nan,0
2000-02-17,7.7813,0.25,0.06029763333333334,0.06035000000000001,,,,,,,,0.006416666666666668,,,nan,nan,7.781158083080819,nan,nan,0
2000-02-18,7.781,0.25,0.06034226666666667,0.06048333333333333,,,,,,,,0.006416666666666668,,,nan,nan,7.780685549937195,nan,nan,0
2000-02-21,7.7818000000000005,0.25,0.06034226666666667,0.06040000000000001,,,,,,,,0.006416666666666668,,,nan,nan,7.781647633577474,nan,nan,0
2000-02-22,7.7821,0.25,0.060632433333333326,0.06058333333333334,,,,,,,,0.006333333333333334,,,nan,nan,7.7821565068979295,nan,nan,0
2000-02-23,7.7823,0.25,0.060811000000000004,0.06055,,,,,,,,0.0065,,,nan,nan,7.782766708796957,nan,nan,0
2000-02-24,7.7826,0.25,0.060930033333333335,0.060700000000000004,,,,,,,,0.007,,,nan,nan,7.782999906204171,nan,nan,0
2000-02-25,7.7823,0.25,0.0610491,0.06048333333333333,,,,,,,,0.007416666666666666,,,nan,nan,7.783347301878458,nan,nan,0
2000-02-28,7.7822,0.25,0.0609524,0.060316666666666664,,,,,,,,0.007583333333333333,,,nan,nan,7.783380999271864,nan,nan,0
2000-02-29,7.7828,0.25,0.061123533333333334,0.06015,,,,,,,,0.0075,,,nan,nan,7.784639698393877,nan,nan,0
2000-03-01,7.7823,0.25,0.06125,0.06015,,,,,,,,0.007416666666666666,,,nan,nan,7.784386902193949,nan,nan,0
2000-03-02,7.7824,0.25,0.0612723,0.06033333333333333,,,,,,,,0.007333333333333333,,,nan,nan,7.784174740854467,nan,nan,0
2000-03-03,7.7828,0.25,0.06109373333333334,0.06033333333333333,,,,,,,,0.007,,,nan,nan,7.7842319723495175,nan,nan,0
2000-03-06,7.7835,0.25,0.06080356666666667,0.06056666666666666,,,,,,,,0.006916666666666667,,,nan,nan,7.783914443220649,nan,nan,0
2000-03-07,7.7837,0.25,0.060654766666666665,0.06063333333333334,,,,,,,,0.006833333333333334,,,nan,nan,7.783696275716656,nan,nan,0
